hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing,reviewer_id,reviewer_name,reviewer_vote,reviewer_is_core,num_prior_votes,pct_prior_pos_votes,pct_prior_neg_votes,pct_prior_pos_votes_core,pct_prior_neg_votes_core,change_id,pct_prior_commits_author_authored,pct_prior_commits_author_reviewed,pct_prior_commits_reviewer_authored,pct_prior_commits_reviewer_reviewed
9906d3493b22e6965a2a072696c404c9e8b6ae60,Inessa Vasilevskaya,Inessa Vasilevskaya,2015-05-18 18:26:38+03:00,2015-06-09 22:10:05+03:00,43,0,3354,2,2,114,150.5,187,0.782444129406689,True,53,0,0.0,0,1,True,11391,Mike Fedosin,2,False,3,1.0,0.0,0.6666666666666666,0.0,I72016c5c7868fdc7a72def8b6f5a05324dcee387,,,,
9911f962a44cf3b4e985a9f28e7b9dea2f7cadb1,Lakshmi N Sampath,Lakshmi N Sampath,2014-12-01 22:43:00-08:00,2015-03-26 10:12:27-07:00,2903,1,2827,21,11,1,28.07692307692308,96,0.6809425634477488,False,76,1,828.0,1,8,True,12000,Ian Cordasco,1,False,2,0.0,1.0,0.0,0.5,I6c27d032dea094c7bf5a30b02100170e265588d9,0.0,0.0,0.0,0.0
9911f962a44cf3b4e985a9f28e7b9dea2f7cadb1,Lakshmi N Sampath,Lakshmi N Sampath,2014-12-01 22:43:00-08:00,2015-03-26 10:12:27-07:00,2903,1,2827,21,11,1,28.07692307692308,96,0.6809425634477488,False,76,1,828.0,1,8,True,9303,Abhishek Kekane,1,True,2,0.5,0.5,0.0,0.0,I6c27d032dea094c7bf5a30b02100170e265588d9,0.0,0.0,0.0,0.0
9911f962a44cf3b4e985a9f28e7b9dea2f7cadb1,Lakshmi N Sampath,Lakshmi N Sampath,2014-12-01 22:43:00-08:00,2015-03-26 10:12:27-07:00,2903,1,2827,21,11,1,28.07692307692308,96,0.6809425634477488,False,76,1,828.0,1,8,True,8959,Lakshmi N Sampath,-1,False,2,0.0,1.0,0.0,0.5,I6c27d032dea094c7bf5a30b02100170e265588d9,0.0,0.0,0.0,0.0
9911f962a44cf3b4e985a9f28e7b9dea2f7cadb1,Lakshmi N Sampath,Lakshmi N Sampath,2014-12-01 22:43:00-08:00,2015-03-26 10:12:27-07:00,2903,1,2827,21,11,1,28.07692307692308,96,0.6809425634477488,False,76,1,828.0,1,8,True,13161,Kamil Rykowski,1,False,4,0.75,0.25,0.3333333333333333,0.0,I6c27d032dea094c7bf5a30b02100170e265588d9,0.0,0.0,0.0,0.0
9911f962a44cf3b4e985a9f28e7b9dea2f7cadb1,Lakshmi N Sampath,Lakshmi N Sampath,2014-12-01 22:43:00-08:00,2015-03-26 10:12:27-07:00,2903,1,2827,21,11,1,28.07692307692308,96,0.6809425634477488,False,76,1,828.0,1,8,True,10063,Steve McLellan,1,False,4,0.75,0.25,0.3333333333333333,0.0,I6c27d032dea094c7bf5a30b02100170e265588d9,0.0,0.0,0.0,0.0
9911f962a44cf3b4e985a9f28e7b9dea2f7cadb1,Lakshmi N Sampath,Lakshmi N Sampath,2014-12-01 22:43:00-08:00,2015-03-26 10:12:27-07:00,2903,1,2827,21,11,1,28.07692307692308,96,0.6809425634477488,False,76,1,828.0,1,8,True,2537,Nikhil Komawar,2,True,5,0.8,0.2,0.25,0.0,I6c27d032dea094c7bf5a30b02100170e265588d9,0.0,0.0,0.0,0.0
9911f962a44cf3b4e985a9f28e7b9dea2f7cadb1,Lakshmi N Sampath,Lakshmi N Sampath,2014-12-01 22:43:00-08:00,2015-03-26 10:12:27-07:00,2903,1,2827,21,11,1,28.07692307692308,96,0.6809425634477488,False,76,1,828.0,1,8,True,11391,Mike Fedosin,2,False,6,0.8333333333333334,0.1666666666666666,0.4,0.0,I6c27d032dea094c7bf5a30b02100170e265588d9,0.0,0.0,0.0,0.0
99124f627f2d8506a652b8d09740658215ef6674,Chris Buccella,Chris Buccella,2014-11-06 13:07:37-05:00,2014-12-24 06:10:06+00:00,10,8,0,2,2,0,0.0,0,0.5032583347756457,False,50,0,0.0,0,1,True,6549,Zhi Yan Liu,2,False,1,0.0,1.0,0.0,0.0,I7215e35534fd9a77730d39b96f9ba3bf6c3ea065,,,,
99124f627f2d8506a652b8d09740658215ef6674,Chris Buccella,Chris Buccella,2014-11-06 13:07:37-05:00,2014-12-24 06:10:06+00:00,10,8,0,2,2,0,0.0,0,0.5032583347756457,False,50,0,0.0,0,1,True,12000,Ian Cordasco,-1,False,1,0.0,1.0,0.0,0.0,I7215e35534fd9a77730d39b96f9ba3bf6c3ea065,,,,
991e4bd8def597c1b806ca3afa5a3eb62116e5c0,Brian Waldon,Brian Waldon,2012-08-27 10:16:39-07:00,2012-08-29 08:54:40-07:00,18,11,0,4,1,0,0.0,0,0.8171479406455832,False,14,1,11.0,1,1,True,177,Alex Meade,1,False,0,0.0,0.0,0.0,0.0,Ifc4d8371c0752997258e19e7b149ae88ec3413b0,1.0,0.0,0.0,0.0
991e4bd8def597c1b806ca3afa5a3eb62116e5c0,Brian Waldon,Brian Waldon,2012-08-27 10:16:39-07:00,2012-08-29 08:54:40-07:00,18,11,0,4,1,0,0.0,0,0.8171479406455832,False,14,1,11.0,1,1,True,455,Stuart McLaren,1,False,1,1.0,0.0,0.0,0.0,Ifc4d8371c0752997258e19e7b149ae88ec3413b0,1.0,0.0,0.0,0.0
991e4bd8def597c1b806ca3afa5a3eb62116e5c0,Brian Waldon,Brian Waldon,2012-08-27 10:16:39-07:00,2012-08-29 08:54:40-07:00,18,11,0,4,1,0,0.0,0,0.8171479406455832,False,14,1,11.0,1,1,True,616,Mark Washenberger,2,False,2,1.0,0.0,0.0,0.0,Ifc4d8371c0752997258e19e7b149ae88ec3413b0,1.0,0.0,0.0,1.0
9941a51aa17c62e5adff3c36843e6c2c3abc6348,Victor Sergeyev,Victor Sergeyev,2013-11-21 17:08:54+02:00,2013-11-25 17:16:56+02:00,7,2,47,1,1,7,7.0,7,0.0,True,50,1,445.0,1,0,False,616,Mark Washenberger,2,False,3,1.0,0.0,0.0,0.0,I834cafc6796d517d731c3324fff5008c08b31f7a,0.0,0.0,0.0,1.0
9941a51aa17c62e5adff3c36843e6c2c3abc6348,Victor Sergeyev,Victor Sergeyev,2013-11-21 17:08:54+02:00,2013-11-25 17:16:56+02:00,7,2,47,1,1,7,7.0,7,0.0,True,50,1,445.0,1,0,False,6172,Boris Pavlovic,1,False,2,1.0,0.0,0.0,0.0,I834cafc6796d517d731c3324fff5008c08b31f7a,0.0,0.0,0.0,0.0
9941a51aa17c62e5adff3c36843e6c2c3abc6348,Victor Sergeyev,Victor Sergeyev,2013-11-21 17:08:54+02:00,2013-11-25 17:16:56+02:00,7,2,47,1,1,7,7.0,7,0.0,True,50,1,445.0,1,0,False,6484,Feilong Wang,2,False,2,1.0,0.0,0.0,0.0,I834cafc6796d517d731c3324fff5008c08b31f7a,0.0,0.0,0.0,0.0
9941a51aa17c62e5adff3c36843e6c2c3abc6348,Victor Sergeyev,Victor Sergeyev,2013-11-21 17:08:54+02:00,2013-11-25 17:16:56+02:00,7,2,47,1,1,7,7.0,7,0.0,True,50,1,445.0,1,0,False,7884,Noboru Arai,1,False,3,1.0,0.0,0.0,0.0,I834cafc6796d517d731c3324fff5008c08b31f7a,0.0,0.0,0.0,0.0
