hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,prior_commits,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing
088bcd671dc597053e30594a6b9d9a008685c0be,Andrew Lazarev,Andrew Lazarev,2014-01-09,2014-01-09,4,3,78,1,1,13,13.0,13,0.0,False,14,['f2a4b321731571013ceb4e89b3402322e6998f71'],1,112.0,1,1,True
fd9bee400259d370e837799236b0a4a6f0343438,Sergey Reshetnyak,Sergey Reshetnyak,2014-01-10,2014-01-10,7,18,501,2,2,20,48.5,77,0.8554508105601307,False,9,['d70ac56810c8dbbdf254c81edf842d4968db7b4d'],1,44.0,1,1,True
2ae50e6139a9f8fac0c04214d11200498017edb8,Sergey Reshetnyak,Sergey Reshetnyak,2013-12-18,2014-01-10,759,899,1120,10,4,7,31.0,59,0.7286162707831185,True,15,"['47c419bb0b2ee7267dd449f0cb0d7b06d1b88565', '29eba90566d4599172b3a569948b9613b2f3c6c0', '66fe845e5bd98a7dac17adeacc6b9390dd1cfc51', 'b4f8f932125b2a313b902d255c7f7b66ba216976', '1d12df921cf8747b43eeb72334594267243ef975', '6515b30e1e314b1cb45b7b3d45bfb49b835a43b2', '4083b017426a1954cff6005613f4df097a56dbe7', 'fd28c310f67d2abd9f28320739fdadb4a47ef244', '01c3e9943a2de691455783f6af663216fb6915f9', '9bc46f3723cf21acfccb5672e7d18bb5d47a53e1', '88ad4acc5751460aa42ac0922e2635b0707d90b6', '4de9066bf7dd8569feec5b43e2d499c0eeafdb3d', 'bb1221cd3eea6981a59d3ab73b134acda71de750', 'd54e13d9760d6facf4b885f014380e5c9d169c0c', '1ca90a9b5ebfdb1b0039b9cc47e16c8ef51a2a6a', '375d51e70fb61527ef72934e28e9bc35ed1c2bb7', 'c9af9e5da4490a7936d05ef798d64732798e6dde', '48f4cf66fd011414b01d7716f8f4511ba36133d2', '81515a42d75fda143b12e3361daa8991903a7e88', '231996fd42d9ec4aca0d6d4ae4f61c9ea69d7ac9', '4c1fbf9eb6f39c4dfeea0bd5b82491f5a81f05cf', '89ea1a351521baf30b01a4abe6a5cdcd0f989a5f', 'fc15381d40cd005c368d8e1ebbabee07c25a40ae', 'e6ae51ea6543fb7977e0ed92a2125b4809f28b14', 'f3aee3e865f7aab3b8bb244af6d404e99d69d9ea', '269dc98bf7c402d082e227eb902a6b88c5200670', 'cc7d321c79d5c012163d1e5edc06686df27caec9', '9c21a1faee54ba9a7f128daccf8210b4996e4b58', '32855b9efbbabe52f5e4562f0ab56a4a4b2e7726', 'd90155e8c281c5a518d22b5d9dad62b2413e6f4b', '13b44a2b5501bdd45ca2a2b7cb0b4322bdd00a53', 'b6ca5d6720b4e3bcddfee53f4d0c3eeb7f100861', 'dd45893f15d0b5c9c7f31bcb376589b736e736b1', 'a4f27a88de089d58a0138af2cc132b0202892562', '1c7cec7ac1b687abe2d5b9190c29982ad73af5e9', '9fff9fe6fef8cbc137de2d04cf38ab9c4cebe919', '242b017753ec72828ec4bf86f348bf3fe94f1784', 'e4ff7dd71184d1da9d22545cfb26f9d123a74c50']",38,129.1578947368421,18,26,True
4fa4b97f6d3be71af5e103acb04d61cc00b688a9,Andrew Lazarev,Andrew Lazarev,2014-01-09,2014-01-10,16,1,418,2,2,30,43.5,57,0.5225593745369408,True,13,['58c4cdb57a6aa24bb00e43f92355fef42227b68d'],1,155.0,0,1,True
7269a3d4d0146f53f6fe3b642fff5c9f0fc5c9a4,Andrew Lazarev,Andrew Lazarev,2014-01-07,2014-01-10,26,8,1315,6,5,9,32.833333333333336,62,0.6963270780708304,False,43,"['47c419bb0b2ee7267dd449f0cb0d7b06d1b88565', '1d12df921cf8747b43eeb72334594267243ef975', '48f4cf66fd011414b01d7716f8f4511ba36133d2', 'a57790da420f296ff4a184fd610cb7a516721d86']",4,88.75,2,0,False
9fe8450dcfe14d890c77fa254949d2e17a54588e,Andrew Lazarev,Andrew Lazarev,2014-01-10,2014-01-10,39,2,213,1,1,22,22.0,22,0.0,False,10,['fa62f6872a5a5bfd974bcc369eb7c32bbaa9eae1'],1,211.0,0,2,True
648854e4626247b7d7dc9d443b7e91f08a79a1e6,Sergey Reshetnyak,Sergey Reshetnyak,2014-01-13,2014-01-13,6,15,203,1,1,0,0.0,0,0.0,False,10,[],0,0.0,0,0,False
f2d223e3b710f01f14dd78ec3aacdd2b5b75ec96,yrunts,yrunts,2014-01-13,2014-01-13,30,0,99,2,2,10,15.5,21,1.0,False,35,[],0,0.0,0,3,True
02b400232b2650cc1636367bc8c993d66eed3d25,yrunts,yrunts,2013-12-24,2014-01-13,83,8,631,2,2,13,75.0,137,0.9254482516437046,True,31,['0b6bfe643ae7eb33e08e1c53480e0318c1e715f8'],1,55.0,1,4,True
d7fe01e75cc65969fbe19976cd1741eaad7c9750,yrunts,yrunts,2013-12-27,2014-01-15,63,30,935,3,2,24,68.66666666666667,104,0.7046541600886751,True,31,"['995abd497e518d161f6fdbb6d9978c418f123eab', '9bc46f3723cf21acfccb5672e7d18bb5d47a53e1', 'd70ac56810c8dbbdf254c81edf842d4968db7b4d', 'fd9bee400259d370e837799236b0a4a6f0343438']",4,39.75,3,3,True
bb2bbc2762d6da40ae7482a21c8500aef3bbd557,Alexander Ignatov,Alexander Ignatov,2013-12-27,2014-01-15,221,65,643,7,7,5,16.8,38,0.7091309276577319,True,83,"['2ae50e6139a9f8fac0c04214d11200498017edb8', 'bb1221cd3eea6981a59d3ab73b134acda71de750', '4c1fbf9eb6f39c4dfeea0bd5b82491f5a81f05cf', '1dffdda08b7f88b1577b753ec32e349a521db9b3', 'c28d07261d3cc6db9ebee09e66b494d4b6b7b942']",5,60.6,3,14,True
f514d22a5630a7d14cab4c811b54212282e1a49a,Alexander Ignatov,Alexander Ignatov,2014-01-14,2014-01-15,47,40,423,5,4,5,21.5,38,0.7006473229615071,True,38,"['bb2bbc2762d6da40ae7482a21c8500aef3bbd557', 'c28d07261d3cc6db9ebee09e66b494d4b6b7b942', '4c1fbf9eb6f39c4dfeea0bd5b82491f5a81f05cf']",3,17.333333333333332,3,3,True
