reviewer_id,reviewer_name,reviewer_vote,reviewer_is_core,num_prior_votes,pct_prior_pos_votes,pct_prior_neg_votes,pct_prior_pos_votes_core,pct_prior_neg_votes_core,hash,change_id
100,Johannes Erdfelt,1,False,2,1.0,0.0,0.0,0.0,f6d8437d5bdc81309f850a8d6f9628438b5353da,I02a43dfaf3cb0505e14b7f942bb64f3e94dbf4fa
7,Jay Pipes,2,False,3,1.0,0.0,0.0,0.0,f6d8437d5bdc81309f850a8d6f9628438b5353da,I02a43dfaf3cb0505e14b7f942bb64f3e94dbf4fa
209,Josh Kearney,1,False,0,0.0,0.0,0.0,0.0,a7db2db948626e6727a88f50319306bf48dcc1d9,I98bca574a26f9ab7173ac593d3b32b68d78d2360
7,Jay Pipes,2,False,1,1.0,0.0,0.0,0.0,a7db2db948626e6727a88f50319306bf48dcc1d9,I98bca574a26f9ab7173ac593d3b32b68d78d2360
209,Josh Kearney,1,False,0,0.0,0.0,0.0,0.0,3f33db71bbd25dd3ce323c2d962e2a3a450219e7,I9ecb19901feabc5da0c5bc35e8535530e76e08a9
7,Jay Pipes,2,False,1,1.0,0.0,0.0,0.0,3f33db71bbd25dd3ce323c2d962e2a3a450219e7,I9ecb19901feabc5da0c5bc35e8535530e76e08a9
1132,Brian Waldon,1,False,0,0.0,0.0,0.0,0.0,ec99ac38ae80bded04b18b5807fe2d9cdac1a432,I2b5feea90881ccf80ac3c04b909686409a0a5c0e
7,Jay Pipes,2,False,1,1.0,0.0,0.0,0.0,ec99ac38ae80bded04b18b5807fe2d9cdac1a432,I2b5feea90881ccf80ac3c04b909686409a0a5c0e
679,Kevin L. Mitchell,1,False,0,0.0,0.0,0.0,0.0,1f979ca757162b55bc120eb87990f70819a4266f,Iec71218f5b2f0a7f057ea02f4549bd743892cc65
360,Dan Prince,2,False,1,1.0,0.0,0.0,0.0,1f979ca757162b55bc120eb87990f70819a4266f,Iec71218f5b2f0a7f057ea02f4549bd743892cc65
679,Kevin L. Mitchell,2,False,1,1.0,0.0,0.0,0.0,2c66c6972de9bd5c364228061bf3de27aad746fe,I2d50432de215e51c1e52f8d68eaa0820e9b5bd0b
7,Jay Pipes,1,False,1,0.0,1.0,0.0,0.0,2c66c6972de9bd5c364228061bf3de27aad746fe,I2d50432de215e51c1e52f8d68eaa0820e9b5bd0b
679,Kevin L. Mitchell,1,False,0,0.0,0.0,0.0,0.0,1d2e29063f359a8187fbcc39d4d00ce203c6193c,Ib0be8c9b29ba1efebd03a0cdb8d001a003fc236f
7,Jay Pipes,2,False,1,1.0,0.0,0.0,0.0,1d2e29063f359a8187fbcc39d4d00ce203c6193c,Ib0be8c9b29ba1efebd03a0cdb8d001a003fc236f
